player_id,hand,dob,ioc,height
200863,U,19510124,URS,
200864,U,19431218,EST,
200865,L,19310725,RSA,
200866,R,19501021,USA,163
200867,U,19430712,FRG,
200868,U,19510111,RSA,
200869,U,19450908,ECU,
200870,U,19490416,USA,
200871,R,19420808,USA,
200872,U,19480918,FRA,
200873,U,19460724,CHI,
200874,U,19490414,GBR,
200875,U,19500312,USA,
200876,U,19500731,USA,
200877,R,19400202,GER,
200878,U,19520127,HUN,
200879,U,19470331,USA,
200880,U,19440416,JPN,
200881,U,19470505,FRG,
200882,U,19450107,TCH,
200883,U,19491124,RSA,
200884,U,19441112,NED,
200885,U,,RSA,
200886,U,19480403,USA,
200887,L,19440115,NED,
200888,U,19480314,RSA,
200889,U,19491002,TCH,
200890,R,19410425,AUT,
200891,U,19480612,ZIM,
200892,U,,URS,
200893,U,19351023,FRA,
200894,U,19500918,COL,
200895,U,19460204,GBR,
200896,R,19520731,USA,
200897,R,19420810,GER,
200898,U,19451207,HUN,
200899,U,,URS,
200900,R,19540304,USA,
200901,R,19451212,GBR,
200902,U,19490618,GBR,
200903,U,19490330,JPN,
200904,L,19520725,USA,168
200905,R,19561127,ROU,
200906,U,,CHI,
200907,U,19520503,ESP,
200908,U,19511216,CZE,
200909,U,19541207,FRA,
200910,R,19530628,USA,
200911,R,19561112,RSA,
200912,U,19570523,FRA,
200913,U,19551025,CRC,
200914,U,19540507,USA,
200915,U,19570201,ITA,
200916,U,19481008,USA,
200917,U,19520127,GBR,
200918,L,19580513,USA,
200919,R,19491224,ARG,
200920,U,19490801,JPN,
200921,R,,USA,
200922,U,19551104,USA,
200923,U,19530208,ESP,
200924,L,19510707,GBR,
200925,U,19550704,ARG,
200926,U,19541109,USA,157
200927,U,19521114,USA,
200928,U,19500420,ISR,
200929,R,19520727,NED,
200930,R,19480113,USA,
200931,R,19530418,URS,
200932,U,19571005,USA,155
200933,R,19550614,USA,
200934,U,19530119,HUN,
200935,R,19550902,ROU,165
200936,R,19540316,FRG,
200937,U,19550209,ARG,
200938,R,19560618,USA,173
200939,U,,RSA,
200940,L,19560312,RSA,164
200941,U,19520710,USA,183
200942,R,19561123,USA,
200943,U,19530810,USA,
200944,R,19530630,RSA,
200945,R,19560219,USA,165
200946,U,19530105,FRA,
200947,R,19570916,USA,
200948,R,19551203,RSA,169
200949,U,19550221,CHI,
200950,R,19580717,RSA,168
200951,U,19500721,USA,
200952,U,19540907,USA,
200953,R,19580422,ARG,
200954,U,19600321,ARG,
200955,L,19570312,USA,183
200956,R,19550822,USA,
200957,U,19551118,USA,
200958,U,19560630,DEN,
200959,R,19600815,USA,
200960,U,19560413,USA,
200961,R,19610127,ARG,
200962,U,19561126,BRA,
200963,R,19601104,USA,
200964,U,19650525,FRA,
200965,R,19571219,USA,
200966,U,19570925,USA,
200967,U,19591212,USA,
200968,R,19500226,USA,175
200969,U,19591207,USA,
200970,U,19610605,USA,
200971,U,19590428,ROU,
200972,U,19550524,FRA,
200973,U,19610121,FRA,
200974,U,19610608,SWE,
200975,U,19620205,USA,
200976,L,19590405,USA,161
200977,U,19591126,USA,
200978,U,19581103,USA,
200979,U,19580503,USA,
200980,R,19620605,AUS,
200981,U,19550406,USA,
200982,U,19590427,ARG,
200983,U,19610822,RSA,
200984,U,19600520,GBR,
200985,U,19591127,USA,
200986,U,19610518,ITA,
200987,U,19530423,TCH,175
200988,R,19650419,USA,
200989,U,19640108,USA,
200990,U,19630522,SUI,
200991,R,19541030,USA,173
200992,U,19640329,GBR,
200993,U,19610304,GER,
200994,R,19670627,USA,
200995,U,19630814,BEL,
200996,U,19580418,USA,
200997,U,19620802,GBR,
200998,U,19560513,FRA,
200999,U,19611231,USA,
201000,U,19670402,FRA,
201001,U,19581025,USA,
201002,U,19640914,USA,
201003,U,19640614,YUG,
201004,U,19630217,SWE,
201005,U,19650405,USA,
201006,U,19560831,TCH,
201007,U,19640715,FRA,
201008,U,19600623,USA,
201009,U,19661115,USA,
201010,U,19660526,RSA,
